CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
00000804,137,7,0,S,1,11,H,F,5,1,B,8,,1227,471,60,17179,20,36,57,18,1,0,A,3,0.19,6,0.2,7,4,2,21,38,93,114,25,4.56,4,7,3,7,6,13,21,124,4.56,8
00000917,101,47,0,S,1,11,H,M,4,0,B,5,7,715,395,48,14175,0,29,75,10,1,0,A,1,0.143,11.67,0.2,12.5,3,2,20,35,89,194,20,9.7,15,20,5,10,7,17,20,90,9.7,6
00000968,65,39,0,S,3,21,H,F,6,1,B,5,3,378,233,63,8807,0,32,32,41,0,0,A,1,0.1,15,0.111,10,2,1,18,23,59,63,7,9,15,20,5,20,6,17,18,61,9,2
00001012,137,75,0,T,1,35,H,M,5,0,B,1,9,1133,430,80,26361,0,32,40,55,1,1,S,2,0.35,15.43,0.455,16.6,7,5,17,45,114,342,28,12.21,15,20,5,13,11,28,5,122,12.21,17
00001245,89,79,0,S,2,16,H,F,2,0,P,0,6,728,330,57,13621,0,33,33,43,0,0,A,1,0.105,15,0.25,15,2,2,16,36,96,165,13,12.69,15,20,5,15,10,25,9,79,12.69,6
00001280,137,71,0,R,1,42,H,M,7,1,B,18,0,1881,426,72,20138,0,24,49,12,1,0,A,2,0.227,29.2,0.182,27,5,2,18,34,82,282,13,21.69,30,35,5,30,6,15,18,121,21.69,7
00001400,137,,0,S,1,11,H,M,7,1,B,18,6,1805,759,79,31663,1,33,54,21,1,1,S,3,0.421,8.38,0.545,7,8,6,24,36,88,157,29,5.41,15,17,2,9,6,17,24,131,5.41,18
00001493,137,49,0,S,1,11,H,M,6,0,B,9,6,1904,568,78,23814,0,33,39,18,1,11,A,1,0.263,9,0.375,9,5,3,15,40,108,170,23,7.39,8,11,3,9,8,20,15,127,7.39,16
00001799,77,,0,C,2,27,H,M,5,1,B,7,9,860,358,83,14984,0,35,22,13,1,0,A,4,0.381,7.25,0.6,7.67,8,6,16,32,88,194,21,9.24,13,16,3,9,11,25,4,75,9.24,12
00001920,137,81,0,U,3,09,H,M,4,1,B,1,1,1032,305,39,18324,0,33,35,26,1,0,A,2,0.368,9,0.4,8.25,7,4,17,35,98,214.5,31,6.92,12,15,3,10,9,25,6,123,6.92,12
00002085,65,52,0,C,2,27,H,M,4,1,B,5,8,852,426,87,14762,0,41,54,10,1,0,A,2,0.273,19.67,0.364,20.75,6,4,12,31,85,251,13,19.31,18,28,10,20,11,27,7,64,19.31,8
00002168,41,45,0,S,1,12,U,F,3,1,B,2,8,1566,538,85,20755,0,23,50,26,1,0,A,3,0.318,10.57,0.364,10.25,7,4,18,23,55,101,11,9.18,7,12,5,12,11,24,18,45,9.18,6
00002315,137,,0,R,2,45,U,F,,0,N,0,3,257,251,72,11934,0,34,30,33,0,0,A,1,0.2,8,0.4,8,2,2,21,18,51,181,14,12.93,22,25,3,10,7,17,5,123,12.93,9
00002340,41,84,0,C,2,26,U,F,2,1,M,0,,75,224,8,18798,0,29,34,32,0,0,A,1,0.105,13,0.2,13,2,2,21,21,49,71,5,14.2,6,16,10,16,11,22,21,41,14.2,4
00002431,101,83,0,R,3,53,H,M,7,0,P,0,0,335,170,77,8650,0,34,28,37,1,0,A,2,0.19,14.75,0.2,7.5,4,2,8,29,72,165,11,15,19,24,5,5,10,22,8,89,15,8
00002678,89,73,0,S,3,21,U,F,4,1,M,13,4,514,307,75,11671,0,27,37,26,1,1,S,3,0.5,5,0.818,5,9,9,12,29,71,117,25,4.68,3,6,3,5,10,24,9,78,4.68,19
00002691,29,,0,C,2,25,U,U,,0,N,0,,834,260,40,13687,0,35,28,30,0,0,N,4,0.333,11.75,0.333,5.5,4,2,17,12,38,82,8,10.25,21,24,3,10,8,27,5,23,10.25,2
00002861,113,60,0,S,2,18,U,M,2,1,B,2,6,817,388,82,13502,4,49,40,31,1,1,S,2,0.318,10.43,0.455,9.8,7,5,16,33,83,218,28,7.79,10,13,3,5,8,21,8,112,7.79,12
00002868,137,16,0,S,3,21,U,F,,0,N,0,4,1601,321,66,11856,0,24,16,39,1,1,S,3,0.263,4.8,0.125,3,5,1,16,33,80,98,23,4.26,5,7,2,3,7,19,16,128,4.26,12
00002935,17,,0,?,?, .,H,F,7,0,B,0,,1609,504,69,23852,0,0,0,0,0,0,F,1,0.2,50,0.5,50,1,1,17,6,32,90,4,22.5,40,50,10,20,5,28,10,17,22.5,1
00003018,65,,1,?,?, .,U,F,,0,N,0,1,1429,260,52,9400,0,0,0,0,0,0,A,1,0.154,15,0.2,20,2,1,24,17,56,72,6,12,17,20,3,19,7,27,5,64,12,2
00003026,101,26,1,C,2,29,H,F,4,1,P,0,4,920,221,84,16753,0,38,12,73,1,3,A,1,0.136,15,0.091,15,3,1,18,31,88,156,16,9.75,12,15,3,13,9,32,6,93,9.75,6
00003141,101,67,1,R,2,45,H,M,6,0,P,0,3,384,216,73,10650,1,25,31,35,0,0,F,2,0.143,20,0.1,10,3,1,17,30,89,122,9,13.56,21,26,5,10,9,37,16,92,13.56,5
00003227,77,84,1,C,2,28,U,F,1,0,B,0,7,805,432,81,19401,0,30,35,28,1,0,A,1,0.05,20,0,0,1,0,30,23,73,100,9,11.11,15,20,5,15,6,30,16,74,11.11,2
00003237,77,7,0,T,2,37,U,M,2,1,B,1,7,697,175,22,16137,1,44,9,62,0,0,A,3,0.211,11.25,0.222,10,4,2,18,20,68,115,12,9.58,12,15,3,15,6,28,10,69,9.58,6
00003275,29,52,1,S,1,14,H,F,7,1,B,3,,1121,647,89,25075,0,32,58,5,0,0,A,1,0.154,12.5,0.167,10,2,1,19,11,38,40,3,13.33,5,15,10,15,4,25,16,28,13.33,1
00003325,113,17,1,C,1,24,H,M,3,1,B,2,9,701,322,76,21103,0,46,17,51,1,1,S,2,0.15,8.33,0,0,3,0,18,28,76,87,14,6.21,7,10,3,10,9,32,5,105,6.21,8
00003504,29,78,1,S,2,18,U,F,1,0,M,11,,700,360,79,13620,0,36,37,43,1,1,S,4,0.421,15.88,0.333,14.33,8,3,15,14,48,142,9,15.78,10,20,10,18,7,29,15,33,15.78,3
00003641,65,61,1,C,3,30,U,M,2,1,B,3,3,295,180,53,8376,0,18,17,46,1,1,S,3,0.3,13.5,0.4,13.25,6,4,21,20,61,136,13,10.46,12,17,5,10,7,27,15,56,10.46,6
00003698,17,73,0,S,3,21,H,F,5,0,B,6,,964,287,71,9733,0,33,44,16,0,0,F,1,0.2,25,0.5,25,1,1,17,6,16,25,1,25,25,25,0,0,5,13,16,17,25,1
00003891,137,82,1,T,2,39,H,F,2,1,P,0,4,283,212,73,9043,7,18,53,0,1,0,A,3,0.176,25.67,0.222,27.5,3,2,17,33,124,345,18,19.17,25,30,5,25,6,32,16,127,19.17,9
00003933,113,31,1,U,2,05,U,M,,1,N,0,5,912,334,66,14883,0,23,27,38,1,0,A,1,0.056,11,0.125,11,1,1,21,27,72,137,16,8.56,18,20,2,11,6,18,21,139,8.56,9
00004003,125,,1,S,2,20,H,M,3,0,B,4,2,490,314,93,13815,0,30,70,6,1,1,S,4,0.318,5.29,0.273,5.67,7,3,18,25,67,99,21,4.71,5,7,2,5,6,16,18,126,4.71,10
00004082,89,39,1,U,3,08,H,M,4,0,B,12,4,2017,279,54,14876,0,24,14,54,1,1,S,2,0.227,28.6,0.273,31.33,5,3,17,28,113,707,27,26.19,23,38,15,35,6,30,17,89,26.19,9
00004240,77,,1,S,1,12,U,F,,0,N,0,,971,495,93,14554,1,22,53,12,1,0,A,1,0.182,13,0.2,11,2,1,18,17,48,74,10,7.4,10,15,5,15,4,10,18,76,7.4,4
00004503,113,75,1,S,2,17,H,M,2,1,B,13,4,1031,289,57,15043,0,35,44,23,0,0,A,2,0.105,15,0,0,2,0,15,28,84,175,13,13.46,15,20,5,10,7,22,15,104,13.46,2
00004606,113,72,1,U,3,08,U,U,,0,N,0,4,1045,288,67,12829,0,18,0,36,0,0,A,1,0.1,25,0,0,2,0,15,28,92,297,12,24.75,7,27,20,25,7,22,15,103,24.75,2
00004655,137,74,1,S,1,12,H,F,6,1,B,2,6,1043,423,92,16406,0,13,35,10,1,7,A,4,0.273,13.33,0.364,14,6,4,18,36,89,240,25,9.6,18,23,5,23,7,18,18,129,9.6,12
00004657,65,,1,U,1,02,H,M,6,0,P,0,1,4578,589,82,30399,0,38,20,41,0,0,A,1,0.125,12,0.286,12,2,2,24,17,70,109,12,9.08,12,15,3,15,6,13,24,127,9.08,5
00004755,137,82,1,T,1,34,H,F,7,0,B,22,7,725,335,75,19902,0,48,6,63,1,0,A,1,0.095,25,0.2,25,2,2,23,31,128,527,28,18.82,47,50,3,25,6,29,23,130,18.82,11
00004849,53,87,1,S,1,14,H,F,7,0,M,0,9,3043,1060,93,42667,0,29,28,35,1,0,A,4,0.318,9.43,0.455,9.8,7,5,16,20,67,126,15,8.4,8,11,3,10,6,16,16,53,8.4,8
00004882,137,71,1,S,2,16,H,F,4,0,M,0,6,857,363,95,15977,2,33,25,66,1,7,A,1,0.136,25,0.091,22,3,1,26,37,101,432,29,14.9,23,28,5,28,7,22,26,130,14.9,9
00004885,77,60,1,S,2,16,H,M,5,1,B,10,6,488,258,90,11982,0,39,20,53,1,1,S,2,0.227,34.2,0.182,34,5,2,17,25,76,370,14,26.43,31,36,5,35,6,15,17,75,26.43,8
00004917,137,58,1,S,1,12,U,F,,0,N,0,,801,425,92,18631,3,28,36,50,1,1,S,3,0.214,13.67,0.143,14,3,1,18,20,57,186,19,9.79,13,15,2,15,4,7,18,112,9.79,8
00005023,137,,1,R,2,45,U,F,1,0,P,0,4,481,226,67,10813,0,37,31,31,1,5,A,1,0.19,10.75,0.182,7.5,4,2,17,33,81,145,23,6.3,24,25,1,25,6,14,17,115,6.3,14
00005051,125,83,1,?,?, .,U,F,,0,N,0,5,1128,267,89,19444,0,0,0,0,0,0,A,1,0.136,20.67,0.091,26,3,1,18,33,102,255,16,15.94,16,26,10,15,6,13,18,125,15.94,6
00005059,77,,1,T,2,37,U,F,3,1,M,13,5,735,366,96,15397,0,34,29,39,0,0,A,1,0.111,16.5,0.125,18,2,1,24,19,49,93,8,11.63,13,18,5,15,3,8,24,76,11.63,4
00005070,137,74,1,C,3,30,H,F,2,1,B,3,4,657,193,94,13016,1,32,20,38,1,10,A,1,0.19,12.5,0.3,10,4,3,17,33,115,157,20,7.85,18,20,2,10,5,25,17,130,7.85,13
00005180,101,78,1,S,2,16,H,F,2,0,B,0,1,469,285,73,11456,0,30,33,23,1,1,S,2,0.1,15,0.2,15,2,2,17,30,108,310,33,9.39,13,16,3,10,9,22,5,110,9.39,11
00005300,77,79,1,C,2,29,U,F,1,0,B,9,3,753,247,42,12439,0,62,18,71,0,0,A,1,0.111,19,0.125,18,2,1,26,18,61,79,5,15.8,10,20,10,20,5,12,26,77,15.8,2
00005302,137,76,1,C,2,27,H,F,4,0,B,2,,633,306,81,12914,0,40,17,38,1,1,S,3,0.263,7.4,0.222,6,5,2,18,31,93,142,28,5.07,7,10,3,8,6,14,18,130,5.07,13
00005331,113,,1,C,1,24,U,U,7,1,B,1,9,1618,508,51,22608,0,30,48,11,1,1,S,4,0.45,13.33,0.636,13,9,7,10,41,102,254,22,11.55,20,25,5,15,11,30,4,112,11.55,11
00005510,137,85,1,?,?, .,U,F,,0,N,0,4,705,250,39,13764,0,0,0,0,1,0,A,1,0.4,11.13,0.556,10.6,8,5,17,45,125,390,37,10.54,16,19,3,15,10,29,11,128,10.54,14
00005556,137,78,1,C,2,27,U,F,1,0,P,0,9,552,426,82,14589,1,29,36,19,1,12,A,1,0.125,13,0.25,13,2,2,21,30,80,158,27,5.85,12,14,2,14,4,13,21,130,5.85,14
00005613,125,62,1,?,?, .,U,F,,0,N,0,7,2880,511,61,25314,0,0,0,0,1,0,A,1,0.158,10.33,0.2,9.5,3,2,18,30,113,158,19,8.32,10,15,5,15,6,32,13,124,8.32,7
00005642,113,,1,U,2,07,H,F,5,0,B,14,7,1000,271,44,16266,0,30,17,44,1,1,S,3,0.273,21.33,0.182,19,6,2,18,30,124,1196,69,17.33,43,51,8,25,5,29,10,111,17.33,14
00005775,77,53,1,?,?, .,H,F,4,1,B,15,9,1150,528,97,19524,0,0,0,0,0,0,A,1,0.048,70,0.1,70,1,1,26,25,97,575,8,71.88,125,150,25,150,5,27,6,76,71.88,4
00006026,101,74,1,S,1,14,U,M,,0,N,0,9,3740,827,98,44015,0,26,48,31,1,3,F,1,0.273,18.33,0.273,18.67,6,3,14,32,102,322,23,14,18,21,3,20,10,28,14,91,14,11
00006123,137,17,1,T,1,35,U,M,2,1,B,4,7,760,474,92,17034,0,30,39,22,1,1,S,3,0.211,16.5,0.273,17.33,4,3,17,32,101,261.9,19,13.78,13,19,6,19,6,30,17,129,13.78,13
00006185,89,72,1,U,2,05,H,F,5,0,B,2,5,2258,360,86,15758,0,28,8,14,1,0,A,1,0.095,12.5,0.2,12.5,2,2,24,29,95,150,11,13.64,10,20,10,20,8,21,9,89,13.64,6
00006223,113,71,1,C,3,31,U,M,,0,N,0,,687,323,77,17738,0,0,0,0,1,1,S,4,0.294,8,0.571,8.25,5,4,15,28,81,145,19,7.63,10,15,5,10,8,21,5,113,7.63,10
00006457,137,,1,T,2,37,U,F,,1,N,0,1,956,205,77,13234,0,49,21,63,1,3,A,1,0.3,10,0.4,10.25,6,4,25,33,96,213,35,6.09,9,11,2,11,5,18,25,130,6.09,20
00006558,113,73,1,C,2,29,U,F,2,1,B,6,8,707,304,78,14109,0,63,2,87,1,0,A,1,0.056,15,0.125,15,1,1,21,30,76,99,11,9,10,15,5,10,6,23,8,110,9,8
00006865,77,37,1,S,1,13,H,F,6,1,P,0,9,4326,884,79,53833,0,25,24,45,0,0,A,1,0,0,0,0,0,0,,18,66,105,8,13.13,10,15,5,15,6,12,25,80,13.13,1
00006941,101,54,1,C,2,29,H,M,6,0,M,0,8,1641,288,82,25758,0,47,6,83,1,4,A,1,0.136,25,0.182,25,3,2,22,27,91,631,26,24.27,30,35,5,25,6,14,22,93,24.27,12
00007074,137,75,1,S,2,16,H,F,1,1,P,0,5,506,326,88,15486,4,38,30,13,1,1,S,3,0.421,6.5,0.5,6.6,8,5,25,31,110,429,95,4.52,5,7,2,7,4,13,25,125,4.52,32
00007169,137,,1,U,1,03,U,M,,0,N,0,9,987,247,87,12040,0,42,27,49,1,1,S,2,0.133,7.5,0.286,7.5,2,2,18,32,85,187,16,11.69,16,20,4,5,6,13,18,126,11.69,10
00007174,137,67,1,T,2,36,U,F,4,1,B,9,4,504,289,70,11074,0,26,15,69,1,11,A,1,0.118,11,0.125,10,2,1,20,32,95,368,44,8.36,12,15,3,12,4,11,20,128,8.36,19
00007300,137,47,1,C,3,30,U,F,4,1,B,8,,413,157,34,6941,0,27,20,4,1,0,A,1,0.059,16,0,0,1,0,26,28,61,72,7,10.29,11,16,5,16,4,10,26,125,10.29,5
00007346,65,,1,U,2,06,H,F,3,0,B,22,,1936,353,54,9361,1,11,28,32,0,0,A,1,0.167,13,0,0,2,0,18,16,65,118,11,10.73,15,20,5,15,7,22,9,65,10.73,2
00007518,125,,1,?,?, .,U,M,2,0,P,0,4,607,298,82,12279,0,0,0,0,1,1,S,3,0.294,5,0.444,5,5,4,15,30,70,92,19,4.84,2,5,3,5,5,12,15,119,4.84,16
00007550,137,86,1,U,2,04,H,F,2,1,B,39,3,1116,274,36,21881,0,42,40,30,1,1,S,3,0.211,7.5,0.222,10,4,2,17,33,81,185,30,6.17,12,15,3,10,7,16,17,130,6.17,16
00007634,101,87,1,?,?, .,H,F,1,0,B,20,3,518,152,52,9843,0,0,0,0,1,1,S,3,0.182,9.75,0,0,4,0,17,28,70,121,17,7.12,12,15,3,11,6,15,17,97,7.12,8
00007646,101,82,1,C,3,33,H,M,1,0,B,0,4,364,162,90,13232,0,44,0,96,0,0,E,1,0.063,15,0.143,15,1,1,15,21,92,187,15,12.47,5,15,10,15,2,16,15,93,12.47,4
00007676,113,,1,R,2,49,U,F,6,0,P,0,4,466,244,69,10532,0,25,28,41,1,5,A,1,0.091,32.5,0,0,2,0,25,29,110,317,23,13.78,30,35,5,35,6,25,25,113,13.78,7
00007846,113,,1,S,2,18,H,M,4,1,B,1,7,577,425,80,12951,2,13,48,17,1,1,S,3,0.263,8.4,0.556,8.4,5,5,17,28,71,118,16,7.38,5,10,5,10,6,14,17,101,7.38,13
00007852,137,,1,T,2,39,U,F,1,0,M,14,6,503,261,71,9917,0,0,0,0,1,1,S,3,0.176,8.67,0.286,8,3,2,16,31,112,195,22,8.86,7,12,5,7,7,34,6,125,8.86,9
00007987,137,16,1,U,2,07,H,U,5,1,B,50,5,2598,344,39,16168,0,21,11,48,1,3,A,1,0.25,14.6,0.273,16,5,3,15,34,105,454,30,15.13,22,25,3,10,6,15,15,130,15.13,13
00007995,89,,1,C,2,25,H,M,1,1,B,2,0,446,127,23,9127,0,33,10,30,1,1,S,2,0.136,14,0.091,20,3,1,18,28,114,360,29,12.41,15,20,5,10,6,29,16,88,12.41,5
00008183,137,80,0,U,3,08,H,M,3,1,B,1,3,527,238,73,10957,0,32,21,24,0,0,A,2,0.05,14,0,0,1,0,18,31,94,103,10,10.3,10,15,5,14,6,30,18,127,10.3,6
00008245,89,62,1,T,2,40,H,F,5,1,P,0,7,587,342,85,15394,0,30,42,11,0,0,A,2,0.105,20,0.125,20,2,1,24,19,48,70,6,11.67,15,20,5,20,6,13,24,81,11.67,2
00008460,57,,1,U,1,01,U,F,,0,N,0,,2083,329,33,19613,0,14,35,17,0,0,A,4,0.4,5,0.556,5,8,5,9,23,88,260,52,5,0,5,5,5,13,34,6,57,5,19
00008483,137,68,0,C,3,30,H,M,3,1,B,4,0,398,192,57,9541,0,18,18,24,1,0,A,1,0,0,0,0,0,0,,29,92,140,10,14,15,20,5,16,5,29,27,123,14,6
00008550,77,52,0,R,2,49,U,F,,0,N,0,5,701,320,86,11662,0,34,34,32,1,0,A,2,0.136,14,0.182,14,3,2,23,24,79,185,17,10.88,9,14,5,14,6,26,23,76,10.88,7
00008891,65,68,0,C,2,28,H,F,2,0,B,8,1,1261,246,88,15255,0,58,19,50,0,0,A,2,0,0,0,0,0,0,,17,77,146,14,10.43,18,18,0,10,6,37,5,65,10.43,2
00009049,53,51,0,C,3,30,H,F,5,0,B,1,,586,323,84,8833,2,19,52,1,1,0,A,4,0.111,9.5,0,0,2,0,16,16,63,97,11,8.82,13,18,5,12,6,29,16,53,8.82,3
00009091,101,,1,R,2,45,U,F,,0,N,0,0,509,208,70,10260,0,32,25,40,0,0,A,2,0.19,12,0.1,12,4,1,15,26,91,160,13,12.31,15,20,5,20,8,36,7,97,12.31,3
00009258,125,,1,C,2,25,H,F,6,0,B,2,6,515,247,55,12146,0,24,56,31,1,1,S,4,0.214,17,0.143,25,3,1,18,24,95,638,29,22,50,50,0,25,4,31,9,123,22,14
00009287,89,58,1,S,2,18,H,M,1,0,B,13,5,1432,420,83,14210,0,38,45,24,1,1,S,3,0.3,8.67,0.273,8,6,3,18,26,72,180,25,7.2,7,10,3,10,6,14,18,89,7.2,12
00009374,101,61,1,T,1,35,H,F,5,0,B,23,8,2787,499,67,23058,0,30,43,18,0,0,A,1,0.111,15,0,0,2,0,19,24,91,125,11,11.36,13,18,5,15,5,20,19,93,11.36,3
00009376,137,47,0,C,1,24,H,F,5,1,B,10,9,1023,547,92,19210,0,31,46,15,1,0,A,3,0.118,5.5,0,0,2,0,15,27,82,94,20,4.7,7,7,0,5,5,27,6,123,4.7,10
00009611,137,73,1,U,2,05,H,F,5,1,P,0,6,1161,485,89,21650,0,41,26,56,1,3,A,1,0.15,12.67,0.2,13,3,2,21,35,110,270,28,9.64,15,20,5,14,5,22,21,130,9.64,14
00009714,65,,1,C,1,24,H,M,4,1,B,13,,2322,469,75,18806,0,37,31,48,1,1,S,3,0.333,9.5,0.4,11,4,2,18,13,55,125,14,8.93,10,15,5,6,4,8,18,65,8.93,7
00009816,137,63,0,?,?, .,H,M,7,0,P,0,,1977,417,64,23523,0,0,0,0,1,1,S,2,0.05,20,0,0,1,0,19,30,98,223,16,13.94,20,20,0,15,6,35,6,116,13.94,7
00009874,77,,0,T,2,40,H,M,5,1,B,6,8,634,336,63,13685,0,20,40,14,1,0,A,1,0,0,0,0,0,0,,20,76,224,17,13.18,13,18,5,15,5,28,5,75,13.18,4
00009876,77,68,0,S,1,14,H,F,6,1,P,0,9,1124,556,97,20826,0,24,52,19,0,0,A,4,0.095,34.5,0.1,37,2,1,22,23,85,302,15,20.13,37,37,0,0,6,34,4,75,20.13,3
00009947,89,77,0,S,2,18,H,M,3,1,B,12,,793,429,89,12976,0,25,61,16,1,0,A,3,0.158,7.33,0,0,3,0,18,22,64,86,13,6.62,9,9,0,0,6,18,14,81,6.62,3
00009991,41,68,0,?,?, .,H,M,6,0,B,11,9,2374,528,75,21836,0,0,0,0,0,0,A,1,0,0,0,0,0,0,,14,64,90,5,18,10,20,10,20,5,30,26,45,18,2
00010129,77,72,0,R,2,49,U,M,2,0,P,0,2,547,289,87,12356,0,36,45,25,0,0,A,1,0,0,0,0,0,0,,15,72,78,6,13,20,20,0,0,5,33,7,68,13,2
00010211,101,53,1,C,2,25,H,F,6,1,B,26,6,719,247,35,15721,0,28,8,45,1,0,A,1,0,0,0,0,0,0,,27,92,187,12,15.58,20,25,5,10,7,33,4,99,15.58,5
00010227,77,,1,S,2,17,U,M,,0,N,0,2,901,354,71,13133,0,30,15,33,1,1,S,4,0.211,21,0.273,21.33,4,3,19,25,96,504,27,18.67,28,28,0,25,8,40,5,69,18.67,6
00010248,137,,0,R,2,49,U,M,1,1,B,0,2,265,246,79,9578,0,25,30,32,1,0,A,1,0,0,0,0,0,0,,29,91,132,11,12,15,20,5,20,4,26,26,130,12,8
00010420,89,68,1,S,1,14,U,M,7,0,M,13,9,935,312,58,19796,0,38,50,36,0,0,A,1,0.095,20,0.1,20,2,1,19,29,101,162,9,18,15,25,10,20,6,35,16,78,18,3
00010484,89,62,1,C,2,26,U,F,,0,N,0,1,338,285,72,14890,0,43,0,48,1,1,S,4,0.364,10.25,0.455,10,8,5,19,26,104,269,29,9.28,12,15,3,15,6,31,18,88,9.28,13
00010549,113,65,1,S,1,12,H,F,3,1,B,0,7,871,416,90,17256,0,31,32,36,1,1,S,3,0.5,17.88,0.444,16.5,8,4,12,32,126,538,40,13.45,22,25,3,25,11,47,5,103,13.45,16
